City,Rank,Salary,Distance
Сурчин,96.04959919197512,116972.66666666667,31486
Нови Београд,89.01569019827446,100618.0,8741
Стари град,84.88188835811357,92993.75,4806
Врачар,81.74018670296175,87766.83333333333,4509
Костолац,79.66698654893992,102455.66666666667,90399
Лазаревац,77.78005102263987,92371.41666666667,57259
Лајковац,75.91290437241132,90458.5,62747
Савски венац,72.86856091868249,72373.91666666667,666
Земун,72.74817331640804,74811.0,13172
Обреновац,68.86036352861797,74381.66666666667,41466
Панчево,68.32636127566704,69255.16666666667,21301
Пећинци,67.71315985508863,72962.58333333333,43681
Звездара,67.54942165902033,65709.66666666667,10535
Чукарица,66.42442778088586,65767.41666666667,19586
Вождовац,65.54409204983457,65395.083333333336,24687
Ада,64.67346759111814,59886.75,5336
Вршац,64.36964636148146,76209.16666666667,85175
Смедерево,63.85784019048832,70730.41666666667,63165
Нови Сад,62.872624800558626,75569.83333333333,93820
Раковица,61.535323294283145,55682.083333333336,9863
Палилула,59.967366723269734,51967.75,4467
Сремска Митровица,57.823423583535046,62959.5,73362
Беочин,57.20568028314935,66043.58333333333,92819
Инђија,57.06507395747494,58674.25,58940
Барајево,57.01560912585258,52176.583333333336,28487
Зрењанин,56.411826045409995,62504.833333333336,82217
Стара Пазова,56.27574195632208,54580.583333333336,45669
Гроцка,56.14399427304407,52308.666666666664,35914
Косјерић,55.62138488151497,71400.5,130604
Ковин,54.5577593421896,59302.25,81482
Лучани,54.33519752692047,75287.33333333333,159086
Аранђеловац,54.24346291739025,57509.416666666664,75425
Севојно,54.22351425984752,75631.33333333333,161590
Шабац,54.10928870353547,57520.416666666664,76524
Бачка Паланка,53.609113818366595,68522.33333333333,132643
Рума,52.95724136361163,52765.833333333336,62946
Пожаревац,52.837483256326934,56281.666666666664,80567
Ковачица,52.80084737335649,50242.916666666664,52192
Опово,52.63813195620237,50504.083333333336,54701
Коцељева,52.319183699255774,54146.75,74478
Петроварадин,52.07176751656181,55555.833333333336,83096
Ваљево,51.88770425658289,56566.333333333336,89328
Сремски Карловци,51.71847231435429,54057.5,78741
Младеновац,51.34129268074831,47937.666666666664,52638
Сопот,50.923769844499745,47696.333333333336,54750
Горњи Милановац,50.897027150136196,60503.416666666664,115743
Ириг,50.48567183425628,50324.583333333336,70642
Житиште,50.128341589418625,55230.916666666664,96716
Топола,49.517284707193234,50070.25,76990
Жабаљ,49.26476928700002,53388.083333333336,94707
Велика Плана,49.04516624237258,52769.416666666664,93484
Шид,48.97067259399587,57244.583333333336,115305
Тител,48.69483900698792,46688.666666666664,67357
Уб,48.632650412535746,44775.5,58762
Мионица,48.273723842709636,48906.583333333336,81169
Крагујевац,48.060337631253724,61096.083333333336,140687
Алибунар,47.87428680077379,42954.75,56037
Деспотовац,47.792012536309954,59625.333333333336,135800
Темерин,47.65506607098461,52821.416666666664,104576
Пландиште,47.455947730603164,48157.75,83995
Бечеј,47.22061866486782,55611.583333333336,121208
Лапово,47.126645733662976,53723.916666666664,112982
Ужице,47.10329986342066,64798.333333333336,165725
Нова Црња,46.97324823422141,54670.416666666664,118671
Врбас,46.89357282404926,56668.75,128777
Мајданпек,46.840879573877146,67917.0,182574
Сечањ,46.4298775105533,48338.5,92858
Смедеревска Паланка,46.277122382340636,46250.333333333336,84139
Владимирци,45.743558330113174,43158.833333333336,73629
Осечина,45.527505704624815,50598.0,110622
Чачак,45.39021494210997,55595.5,135412
Свилајнац,44.99820848695619,50078.75,112287
Љиг,44.96588725083717,43039.75,79131
Богатић,44.63804842867745,46841.416666666664,99732
Кула,43.88682289516587,53866.083333333336,138933
Љубовија,42.83673158226874,54904.916666666664,152056
Србобран,42.78344738200059,49740.583333333336,127961
Велико Градиште,42.61636966919126,46778.5,115206
Бела Црква,42.60679270253267,49336.0,127419
Оџаци,42.591200094930336,54187.583333333336,150567
Бачка Топола,42.51088157614012,55313.416666666664,156537
Суботица,42.43883170485124,62034.416666666664,188998
Кањижа,42.27721959070364,63799.666666666664,198637
Кикинда,42.12653301753019,57274.25,168842
Краљево,41.89638724451103,55616.583333333336,162770
Петровац на Млави,41.76227184933337,45769.166666666664,117079
Кучево,41.20826734569678,48045.916666666664,132207
Параћин,41.1298254113712,54159.083333333336,161833
Бачки Петровац,40.872706836072624,43584.416666666664,113650
Нови Бечеј,40.82785508337902,47445.666666666664,132326
Ћуприја,40.79818126656867,51210.083333333336,150424
Мало Црниће,40.7576956443698,38895.083333333336,92291
Јагодина,40.68500466973511,48821.416666666664,139970
Апатин,40.57911109165903,60668.666666666664,197025
Кнић,40.47837546969064,52715.083333333336,160062
Црвени крст,40.47726033986645,68591.16666666667,235421
Баточина,40.22708674718586,43498.25,118278
Бајина Башта,40.18240131434667,52089.5,159402
Бор,40.1366743326991,69797.58333333333,243804
Голубац,40.11114446312683,45725.833333333336,129755
Лозница,39.25152546854502,47908.333333333336,146820
Жабари,39.17594737984691,38709.166666666664,103749
Жагубица,39.021764950173825,52902.583333333336,172316
Мали Иђош,38.61858743269511,45828.75,141888
Сента,38.457165302563965,55020.75,186774
Сомбор,38.36457040446277,53538.833333333336,180463
Пожега,38.246414006640954,47771.25,154011
Крушевац,37.79678894977166,55616.583333333336,194754
Мали Зворник,37.57887412059683,49962.083333333336,169617
Нови Кнежевац,37.1730781894294,59375.833333333336,217462
Рековац,36.754628845399445,47814.333333333336,165854
Алексинац,36.428900699912965,55982.583333333336,207163
Бач,36.378886078389584,45386.166666666664,157261
Рача,35.70826023272966,47077.0,170518
Неготин,35.36173773647048,60675.916666666664,237764
Крупањ,35.337569332268295,39901.916666666664,139356
Чока,35.19624446555956,51177.666666666664,193975
Сокобања,34.989878397912804,57618.25,226153
Медијана,34.788058935913945,60027.666666666664,239163
Варварин,34.62778149004513,47734.666666666664,182069
Пирот,34.252944320492524,73272.75,306201
Ниш,34.114721401384635,58776.083333333336,238476
Чајетина,33.95014289760044,52766.583333333336,211238
Ариље,33.664009207798046,44193.25,172780
Бољевац,33.60234964913387,51655.916666666664,208680
Кладово,33.59163348392569,59570.833333333336,246329
Ивањица,33.08070869455045,46279.833333333336,187234
Зајечар,32.82719380936474,57757.583333333336,243687
Трстеник,31.431881194086206,50360.25,219464
Сјеница,31.32573621309055,56134.166666666664,247696
Ражањ,31.316023737982206,43163.916666666664,186213
Ћићевац,29.43188615000158,37606.666666666664,174537
Рашка,28.482382701827504,49692.083333333336,239304
Врњачка Бања,28.430353296192184,47603.25,229796
Александровац,28.332217829408243,47224.916666666664,228766
Блаце,27.45635460653069,48466.5,241492
Мерошина,27.01378265817113,49001.916666666664,247486
Куршумлија,26.780064823627935,51705.916666666664,262143
Медвеђа,26.655806933217796,62893.416666666664,316210
Дољевац,26.399566972443345,48009.333333333336,247567
Житорађа,26.146673550761598,50891.666666666664,263220
Нови Пазар,25.922075674181272,49875.0,260147
Брус,25.79360256294489,45539.0,240570
Нова Варош,25.64578570397179,48770.833333333336,257062
Пантелеј,25.63461935514133,45304.0,240695
Прокупље,25.352881622406606,48747.833333333336,259238
Лесковац,23.874614268793174,49878.0,276135
Нишка Бања,23.45883573544932,44113.583333333336,252020
Књажевац,22.992659994518732,45554.333333333336,262495
Бабушница,22.294320268520153,52861.25,302623
Тутин,21.958029154518034,50492.666666666664,294005
Прибој,21.58036176813063,45962.583333333336,275451
Бојник,20.896284377329494,45527.916666666664,278725
Пријепоље,20.87853538363302,45807.833333333336,280192
Власотинце,19.52194611076621,45387.333333333336,288780
Сурдулица,19.448264798701693,53548.083333333336,328087
Сврљиг,19.30294430433416,39819.75,264064
Гаџин Хан,18.38148847059495,38255.333333333336,263828
Лебане,17.908568468041658,43440.25,292126
Врање,17.82896811223412,54597.916666666664,345703
Бела Паланка,16.351129819825225,38335.75,280050
Владичин Хан,14.943537084616693,44086.583333333336,318326
Димитровград,12.796690852710453,43591.416666666664,332725
Врањска Бања,12.08078728527442,43548.583333333336,338107
Бујановац,11.604469340170017,47350.166666666664,359866
Црна Трава,10.790056052618173,40308.916666666664,332801
Прешево,9.319774743863418,48976.833333333336,385411
Босилеград,8.822673776539965,48647.25,387725
Трговиште,0.0,34782.5,390753
